scenario,base,type,sampleSize,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
63,moderate,quadratic-high,17000,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.02125
64,moderate,non-monotonic,4250,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.03
65,moderate,non-monotonic,4250,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0225
66,moderate,non-monotonic,4250,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0375
67,moderate,non-monotonic,1063,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.03
68,moderate,non-monotonic,1063,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0225
69,moderate,non-monotonic,1063,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0375
70,moderate,non-monotonic,17000,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.03
71,moderate,non-monotonic,17000,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0225
72,moderate,non-monotonic,17000,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0375
