scenario,base,type,sampleSize,weightType,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
56,absent,non-monotonic,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
57,absent,non-monotonic,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
58,absent,non-monotonic,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
59,absent,non-monotonic,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
60,absent,non-monotonic,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
61,absent,non-monotonic,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
62,absent,non-monotonic,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
63,absent,non-monotonic,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
64,absent,non-monotonic,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
65,absent,non-monotonic,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
66,absent,non-monotonic,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
67,absent,non-monotonic,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
68,absent,non-monotonic,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
69,absent,non-monotonic,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
70,absent,non-monotonic,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
71,absent,non-monotonic,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
